"County FIPS","County Name","Year","Population","Births","Deaths","Natural Increase","Net Migration","Census Building Permits","Group Quarters Population","Household Population","Households","Household Size","Household Population to Total Housing Units Ratio","Total Housing Units","Vacancy Rate","Vacant Housing Units"
"1","Adams County","2001","359,437","7,132","2,223","4,909","2,793","5,819","3,396","356,041","126,724","2.81","2.66","133,917","5.40","7,193"
"1","Adams County","2002","371,181","7,271","2,213","5,058","6,686","6,158","3,625","367,556","130,680","2.81","2.63","139,734","6.50","9,054"
"1","Adams County","2003","377,665","7,393","2,283","5,110","1,374","5,981","3,649","374,016","132,793","2.82","2.59","144,635","8.20","11,842"
"1","Adams County","2004","385,945","7,429","2,216","5,213","3,067","4,811","3,643","382,302","135,443","2.82","2.55","149,648","9.50","14,205"
"1","Adams County","2005","395,384","7,560","2,357","5,203","4,236","5,313","3,626","391,758","138,478","2.83","2.54","154,113","10.20","15,635"
"1","Adams County","2006","407,587","7,733","2,241","5,492","6,711","4,928","3,657","403,930","142,496","2.83","2.56","157,948","9.80","15,452"
"1","Adams County","2007","415,915","7,841","2,279","5,562","2,766","3,252","3,671","412,244","145,208","2.84","2.57","160,651","9.60","15,443"
"1","Adams County","2008","425,138","7,925","2,448","5,477","3,746","2,288","3,683","421,455","148,306","2.84","2.60","162,115","8.50","13,809"
"1","Adams County","2009","436,323","7,699","2,359","5,340","5,845","957","3,873","432,450","152,045","2.84","2.66","162,794","6.60","10,749"
"1","Adams County","2010","443,711","7,436","2,474","4,962","2,426","662","4,027","439,684","154,505","2.85","2.69","163,435","5.46","8,930"
"1","Adams County","2011","452,181","7,247","2,467","4,780","3,690","565","4,061","448,120","157,248","2.85","2.72","164,593","4.46","7,345"
"1","Adams County","2012","460,468","6,923","2,754","4,169","4,118","1,015","4,057","456,411","159,932","2.85","2.75","165,858","3.57","5,926"
"1","Adams County","2013","469,878","7,171","2,798","4,373","5,037","1,340","4,086","465,792","162,991","2.86","2.78","167,459","2.67","4,468"
"1","Adams County","2014","479,901","7,044","2,711","4,333","5,690","1,115","4,211","475,690","166,221","2.86","2.81","169,377","1.86","3,156"
"1","Adams County","2015","490,351","7,361","2,962","4,399","6,051","2,101","4,225","486,126","169,630","2.87","2.84","171,361","1.01","1,731"
"1","Adams County","2016","497,822","7,171","2,942","4,229","3,242","2,657","4,416","493,406","171,930","2.87","2.85","173,204","0.74","1,274"
"1","Adams County","2017","503,706","7,167","3,113","4,054","1,830","2,552","4,406","499,300","173,741","2.87","2.83","176,439","1.53","2,698"
"1","Adams County","2018","511,422","6,916","3,128","3,788","3,928","2,797","4,426","506,996","176,173","2.88","2.82","180,056","2.16","3,883"
"1","Adams County","2019","516,481","6,719","3,170","3,549","1,510","2,666","4,443","512,038","177,677","2.88","2.79","183,751","3.31","6,074"
"1","Adams County","2020","520,489","6,805","3,402","3,403","605","4,027","4,476","516,013","179,414","2.88","2.75","187,474","4.30","8,060"
"1","Adams County","2021","523,505","6,644","3,958","2,686","330","4,687","4,521","518,984","183,221","2.83","2.71","191,465","4.31","8,244"
"1","Adams County","2022","528,201","6,838","4,299","2,539","2,157","2,811","4,564","523,637","187,112","2.80","2.68","195,556","4.32","8,444"
"1","Adams County","2023","535,901","6,905","3,611","3,294","4,406","2,817","4,580","531,321","190,676","2.79","2.67","199,295","4.32","8,619"
"1","Adams County","2024","543,760","7,008","3,624","3,384","4,475","2,371","4,639","539,121","194,562","2.77","2.65","203,379","4.34","8,817"
"3","Alamosa County","2001","15,231","249","113","136","-4","52","995","14,236","5,598","2.54","2.30","6,200","9.70","602"
"3","Alamosa County","2002","15,266","227","116","111","-76","92","995","14,271","5,636","2.53","2.28","6,246","9.80","610"
"3","Alamosa County","2003","15,360","220","131","89","5","48","995","14,365","5,697","2.52","2.28","6,299","9.60","602"
"3","Alamosa County","2004","15,406","271","101","170","-124","35","995","14,411","5,741","2.51","2.27","6,350","9.60","609"
"3","Alamosa County","2005","15,395","260","115","145","-156","53","995","14,400","5,757","2.50","2.25","6,392","9.90","635"
"3","Alamosa County","2006","15,350","227","93","134","-179","64","995","14,355","5,761","2.49","2.24","6,417","10.20","656"
"3","Alamosa County","2007","15,293","263","114","149","-206","48","995","14,298","5,763","2.48","2.21","6,462","10.80","699"
"3","Alamosa County","2008","15,346","258","109","149","-96","54","995","14,351","5,808","2.47","2.20","6,510","10.80","702"
"3","Alamosa County","2009","15,301","272","89","183","-228","56","995","14,306","5,814","2.46","2.19","6,536","11.10","722"
"3","Alamosa County","2010","15,474","250","127","123","50","38","740","14,734","6,007","2.45","2.25","6,561","8.44","554"
"3","Alamosa County","2011","15,528","234","131","103","-49","53","740","14,788","6,037","2.45","2.24","6,591","8.41","554"
"3","Alamosa County","2012","15,604","208","118","90","-14","60","740","14,864","6,075","2.45","2.24","6,636","8.45","561"
"3","Alamosa County","2013","15,709","223","146","77","28","70","740","14,969","6,126","2.44","2.23","6,700","8.57","574"
"3","Alamosa County","2014","15,788","240","126","114","-35","52","865","14,923","6,115","2.44","2.21","6,747","9.37","632"
"3","Alamosa County","2015","15,885","215","128","87","10","26","865","15,020","6,163","2.44","2.21","6,807","9.46","644"
"3","Alamosa County","2016","15,936","200","141","59","-8","75","865","15,071","6,192","2.43","2.20","6,835","9.41","643"
"3","Alamosa County","2017","16,053","197","157","40","77","69","865","15,188","6,247","2.43","2.20","6,908","9.57","661"
"3","Alamosa County","2018","16,184","200","138","62","69","44","865","15,319","6,310","2.43","2.19","6,990","9.73","680"
"3","Alamosa County","2019","16,247","192","144","48","15","52","865","15,382","6,343","2.43","2.19","7,026","9.72","683"
